Generation,BestFitness,AverageFitness,WorstFitness
0,283.36463840167863,166.66070778704255,65.89162588038002
1,299.1019770508868,177.7438367582344,93.18784594517751
2,280.04082913187364,183.8168697972693,83.82068307284081
3,288.2640923429616,191.9341565979372,82.80659672903384
4,297.14805087073694,196.2281438255487,95.83853111189944
5,299.3806560638288,199.04769163387869,98.64263790342999
6,311.7281298500855,202.88198192274015,114.60919791327231
7,311.59307154333936,212.60525951106675,118.6091033425993
8,317.4070409646727,217.69304393491393,128.87752971773557
9,335.12769620524534,224.1519106720639,103.90904820938295
10,344.9278067228135,231.0757692581264,117.32032131116381
11,340.60595966144035,229.17636004222848,130.4531823131784
12,347.7554417483747,230.52428615176927,120.50389866949794
13,331.1116813709897,232.62468945833228,133.1329889239702
14,331.0418754068672,237.7930283353032,128.6508015263683
15,335.12769620524534,243.7052970539482,133.00826908090295
16,335.12769620524534,248.13699053509762,150.4302915227376
17,334.02073925173727,249.4490140651261,160.9297900875846
18,331.1116813709897,248.3272747627304,171.61578217369757
19,331.1116813709897,249.1592416306895,165.30743263924927
20,349.13671186871477,251.63354780293872,170.6243358346656
21,331.0418754068672,252.5610543494798,170.7882545051353
22,331.0418754068672,250.15842573569753,155.40777572755613
23,333.4828330840528,250.73251132740273,159.10683485068344
24,340.60595966144035,250.32058345852425,175.86036712699146
25,340.60595966144035,254.83782188176275,174.3839493113369
26,340.60595966144035,255.38786108837837,167.63891304843816
27,340.60595966144035,258.92120748014435,170.81468345740376
28,347.11125752101685,263.2275105143424,182.7857279825206
29,340.60595966144035,261.6035201128405,178.10962252773896
