Generation,BestFitness,GR Timing Set1,GR Timing Set2,GR Timing Set3,Cycle Length,Offset
0,1814.3815716063764,25,22,17,75,4
0,1814.3815716063764,23,29,26,111,29
0,1814.3815716063764,10,16,30,81,19
0,1814.3815716063764,29,18,28,60,28
0,1814.3815716063764,25,30,12,90,30
1,1821.5629902472454,30,19,17,80,18
1,1821.5629902472454,21,19,13,71,8
1,1821.5629902472454,26,24,25,94,24
1,1821.5629902472454,29,25,18,60,12
1,1821.5629902472454,13,30,21,93,21
2,1853.610307724741,30,26,21,104,5
2,1853.610307724741,23,14,25,94,27
2,1853.610307724741,29,21,30,91,4
2,1853.610307724741,21,28,28,60,10
2,1853.610307724741,26,11,25,81,6
3,1896.1734702088645,22,26,21,104,5
3,1896.1734702088645,23,30,25,94,27
3,1896.1734702088645,29,21,30,91,4
3,1896.1734702088645,21,28,28,60,10
3,1896.1734702088645,26,11,25,81,9
4,1901.1877401393945,22,26,21,104,5
4,1901.1877401393945,23,30,25,94,27
4,1901.1877401393945,30,21,30,91,4
4,1901.1877401393945,21,28,28,60,10
4,1901.1877401393945,26,11,25,81,9
5,1918.7072945934542,22,26,21,104,5
5,1918.7072945934542,23,30,25,94,27
5,1918.7072945934542,29,21,30,91,4
5,1918.7072945934542,21,28,28,60,10
5,1918.7072945934542,30,11,25,81,9
6,1889.8163744891312,18,24,16,71,28
6,1889.8163744891312,10,15,27,69,21
6,1889.8163744891312,16,12,30,73,11
6,1889.8163744891312,25,21,30,60,22
6,1889.8163744891312,30,22,17,89,15
7,1887.0788078351864,15,23,11,108,10
7,1887.0788078351864,23,30,26,83,27
7,1887.0788078351864,16,30,30,76,1
7,1887.0788078351864,27,22,24,60,3
7,1887.0788078351864,22,17,28,86,7
8,1929.4687992279191,15,23,11,108,10
8,1929.4687992279191,23,30,26,83,27
8,1929.4687992279191,23,30,30,76,1
8,1929.4687992279191,27,22,24,60,3
8,1929.4687992279191,22,17,28,86,7
9,1875.271926360864,30,24,16,71,28
9,1875.271926360864,12,10,27,69,21
9,1875.271926360864,16,12,30,73,11
9,1875.271926360864,25,21,30,60,22
9,1875.271926360864,16,22,17,89,15
10,1908.3471865666959,30,24,16,71,28
10,1908.3471865666959,12,15,27,69,21
10,1908.3471865666959,16,12,30,73,11
10,1908.3471865666959,25,21,30,60,22
10,1908.3471865666959,16,22,17,89,15
11,1908.3471865666959,30,24,16,71,28
11,1908.3471865666959,12,15,27,69,21
11,1908.3471865666959,16,12,30,73,11
11,1908.3471865666959,25,21,30,60,22
11,1908.3471865666959,16,22,17,89,15
12,1950.4654397654335,30,23,11,108,10
12,1950.4654397654335,23,30,26,83,27
12,1950.4654397654335,16,30,30,76,1
12,1950.4654397654335,27,22,24,60,3
12,1950.4654397654335,22,17,28,86,10
13,1950.4654397654335,30,23,11,108,10
13,1950.4654397654335,23,30,26,83,27
13,1950.4654397654335,16,30,30,76,1
13,1950.4654397654335,27,22,24,60,3
13,1950.4654397654335,22,17,28,86,10
14,1961.1784617435856,15,24,16,71,28
14,1961.1784617435856,12,30,27,69,21
14,1961.1784617435856,24,12,30,73,11
14,1961.1784617435856,25,21,30,60,22
14,1961.1784617435856,16,22,17,89,30
15,1956.1538480811162,22,24,16,71,28
15,1956.1538480811162,12,30,27,69,21
15,1956.1538480811162,16,12,30,73,11
15,1956.1538480811162,25,21,30,60,22
15,1956.1538480811162,16,22,17,89,30
16,1950.4654397654335,30,23,11,108,10
16,1950.4654397654335,23,30,26,83,27
16,1950.4654397654335,16,30,30,76,1
16,1950.4654397654335,27,22,24,60,3
16,1950.4654397654335,22,17,28,86,15
17,1973.273600325313,30,23,11,108,10
17,1973.273600325313,23,30,26,83,27
17,1973.273600325313,16,30,30,76,1
17,1973.273600325313,30,22,24,60,3
17,1973.273600325313,22,17,28,86,15
18,1957.5345669695832,30,24,16,71,28
18,1957.5345669695832,12,30,27,69,21
18,1957.5345669695832,16,12,22,73,11
18,1957.5345669695832,25,21,30,60,22
18,1957.5345669695832,16,22,17,89,3
19,2038.876982565131,29,24,16,71,28
19,2038.876982565131,12,30,27,69,21
19,2038.876982565131,22,12,30,73,11
19,2038.876982565131,25,21,30,60,22
19,2038.876982565131,16,22,17,89,3
20,2007.629766068202,30,24,16,71,28
20,2007.629766068202,12,30,27,69,21
20,2007.629766068202,16,12,30,73,11
20,2007.629766068202,25,21,30,60,22
20,2007.629766068202,16,22,17,89,9
21,2067.2548483303,30,24,16,71,28
21,2067.2548483303,21,30,27,69,21
21,2067.2548483303,16,12,30,73,11
21,2067.2548483303,25,21,30,60,22
21,2067.2548483303,16,22,17,89,9
22,2026.0590395708966,30,22,26,97,22
22,2026.0590395708966,30,30,12,90,25
22,2026.0590395708966,26,26,30,92,30
22,2026.0590395708966,30,27,28,60,15
22,2026.0590395708966,27,17,29,92,6
23,1960.0979743420846,16,22,26,97,22
23,1960.0979743420846,30,30,12,90,25
23,1960.0979743420846,26,26,30,92,30
23,1960.0979743420846,30,27,28,60,15
23,1960.0979743420846,27,17,29,92,16
24,1971.0827668847298,30,22,26,97,22
24,1971.0827668847298,27,30,12,90,25
24,1971.0827668847298,26,26,22,92,30
24,1971.0827668847298,30,27,28,60,15
24,1971.0827668847298,27,17,29,92,2
25,2010.8105537686283,30,22,26,97,22
25,2010.8105537686283,27,30,12,90,25
25,2010.8105537686283,26,26,30,92,30
25,2010.8105537686283,30,27,28,60,15
25,2010.8105537686283,27,17,29,92,3
26,2010.8105537686283,30,22,26,97,22
26,2010.8105537686283,27,30,12,90,25
26,2010.8105537686283,26,26,30,92,30
26,2010.8105537686283,30,27,28,60,15
26,2010.8105537686283,27,17,29,92,3
27,1985.4219872876943,30,22,26,97,22
27,1985.4219872876943,30,22,12,90,25
27,1985.4219872876943,26,26,30,92,30
27,1985.4219872876943,30,27,28,60,15
27,1985.4219872876943,27,17,29,92,7
28,1960.0979743420846,16,22,26,97,22
28,1960.0979743420846,30,30,12,90,25
28,1960.0979743420846,26,26,30,92,30
28,1960.0979743420846,30,27,28,60,15
28,1960.0979743420846,27,17,29,92,12
29,1960.0979743420846,16,22,26,97,22
29,1960.0979743420846,30,30,12,90,25
29,1960.0979743420846,26,26,30,92,30
29,1960.0979743420846,30,27,28,60,15
29,1960.0979743420846,27,17,29,92,10
