Generation,BestFitness,AverageFitness,WorstFitness
0,3246.701027,2403.183443,1793.837489
1,3246.701027,2476.499788,1799.286049
2,3215.252584,2474.977901,1853.099178
3,3242.398764,2527.389124,1896.739592
4,3266.684511,2519.694276,1887.386583
5,3246.701027,2537.172989,2041.448368
6,3267.292771,2577.637054,1988.226419
7,3319.062952,2600.774028,2063.442307
8,3319.062952,2646.642854,2085.672314
9,3400.136274,2685.977828,2026.836944
10,3448.293025,2693.198948,2061.844289
11,3323.366811,2725.658559,2073.329583
12,3323.366811,2737.931879,2126.483278
13,3400.136274,2759.508090,2080.434405
14,3484.954261,2800.684513,2270.021024
15,3323.366811,2800.348836,2115.763665
16,3319.062952,2763.519200,2140.733699
17,3400.136274,2788.939881,2131.577492
18,3400.136274,2824.486007,2233.015304
19,3400.136274,2819.196779,2224.218667
20,3400.136274,2786.101287,2294.279370
21,3460.355826,2835.584204,2266.656302
22,3400.136274,2864.872492,2231.855643
23,3450.125380,2859.900082,2294.279370
24,3400.136274,2848.020031,2349.458198
25,3323.366811,2844.319762,2282.996354
26,3400.136274,2856.706784,2224.218667
27,3433.529635,2894.748398,2394.458654
28,3400.136274,2885.033286,2404.188658
29,3424.521718,2850.264998,2294.279370
