Generation,BestFitness,AverageFitness,WorstFitness
0,1774.088967,1361.544591,968.347304
1,1851.860221,1392.437267,1052.288431
2,1833.880041,1401.182389,959.851483
3,1782.562292,1391.429340,1029.712222
4,1801.863741,1431.941269,1089.508466
5,1918.568077,1461.241932,1082.395426
6,1918.568077,1496.361044,1124.828460
7,1928.563425,1511.792028,1118.376658
8,1951.579752,1503.432549,1048.723941
9,1885.236941,1497.630804,1092.943218
10,1904.661175,1530.031379,1152.953724
11,1917.689746,1558.516998,1167.062625
12,1928.563425,1565.879369,1208.684828
13,1969.804031,1570.373599,1218.371212
14,1969.804031,1575.170620,1117.240008
15,1963.531016,1593.201902,1167.062625
16,1969.804031,1596.055172,1157.210583
17,1969.804031,1626.379117,1202.220161
18,1969.804031,1636.544180,1221.850579
19,1969.804031,1624.857189,1234.302009
20,1935.456966,1636.300525,1260.333668
21,1928.563425,1637.842727,1350.273418
22,1928.563425,1649.941142,1358.791709
23,1953.306707,1654.042166,1354.155178
24,1969.804031,1661.105083,1397.537815
25,1982.832603,1659.744180,1354.155178
26,1995.668552,1660.011764,1354.155178
27,2002.814625,1648.130147,1354.155178
28,1969.804031,1639.430190,1354.155178
29,1969.804031,1649.803430,1397.537815
