Generation,BestFitness,AverageFitness,WorstFitness
0,1858.480978,1380.555499,1035.789398
1,1871.121107,1423.991656,1055.434331
2,1892.626928,1420.328217,1033.691572
3,1893.087288,1422.015374,1034.946830
4,1913.081542,1442.077527,1066.661816
5,2023.044975,1465.718831,1041.593681
6,1973.914135,1484.357124,989.271446
7,1925.429567,1487.806184,1079.598340
8,1906.822719,1502.459391,1153.828349
9,1913.081542,1518.718882,1057.809739
10,1973.914135,1544.527431,1085.334473
11,2004.278288,1564.886502,1047.835095
12,1940.663447,1561.455385,1169.885573
13,1929.147845,1568.879297,1180.740054
14,1935.807957,1578.559435,1206.550444
15,1938.258834,1592.509605,1229.798503
16,1984.378564,1603.138512,1263.141475
17,1994.098781,1611.797660,1294.548738
18,1984.378564,1628.307685,1294.921241
19,1938.258834,1641.898319,1282.206784
20,1938.258834,1648.915501,1322.860378
21,1984.378564,1654.776410,1338.705321
22,1984.378564,1660.732803,1305.406260
23,1984.378564,1649.264704,1330.242783
24,1984.378564,1624.730341,1358.060219
25,1984.378564,1629.713153,1250.640502
26,1994.098781,1661.527724,1326.860091
27,1984.378564,1647.656713,1301.058346
28,1984.378564,1663.611695,1341.354516
29,1984.378564,1667.014479,1379.864192
